Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7806796,"Prince Caspian (Chronicles of Narnia, #4)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""""","=""""",4,3.98,HarperCollins,Kindle Edition,130,2009,1951,,2014/06/15,,,read,,,,1,0
18626829,A Feast for Crows (A Song of Ice and Fire #4),George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.17,Bantam,ebook,1106,2005,2005,,2014/06/15,,,read,,,,1,0
7806804,"The Silver Chair (Chronicles of Narnia, #6)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0007325096""","=""""",4,3.96,HarperCollinsChildren'sBooks,Kindle Edition,241,2009,1953,,2014/06/15,,,read,,,,1,0
5996629,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",4,4.17,Spectra,ebook,320,2004,1951,,2014/06/15,,,read,,,,1,0
10429950,"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,"Simmons, Dan",,"=""""","=""""",5,4.24,Spectra,Kindle Edition,676,2011,1990,2010/01/01,2014/06/15,favorites,favorites (#3),read,,,,1,0
7806771,"The Voyage of the Dawn Treader (Chronicles of Narnia, #5) (Publication Order, #3)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0061974269""","=""9780061974267""",4,4.09,HarperCollins,Kindle Edition,256,2009,1952,,2014/06/15,,,read,,,,1,0
12008949,The Forever War,Joe Haldeman,"Haldeman, Joe",,"=""1937475204""","=""9781937475208""",4,4.14,Ridan Publishing,Kindle Edition,292,2012,1974,,2014/06/15,,,read,,,,1,0
5972852,"Children of God (The Sparrow, #2)",Mary Doria Russell,"Russell, Mary Doria",,"=""""","=""""",5,4.09,Ballantine Books,Kindle Edition,466,2007,1998,,2014/06/15,,,read,,,,1,0
8251464,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""1429963948""","=""9781429963947""",5,4.11,Tor Books,Kindle Edition,419,2009,1986,,2014/06/15,,,read,,,,1,0
6445824,"Ilium (Ilium, #1)",Dan Simmons,"Simmons, Dan",,"=""""","=""""",4,4.04,,Kindle Edition,752,,2003,,2014/06/15,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",4,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2014/06/15,,,read,,,,1,1
8150248,"Olympos (Ilium, #2)",Dan Simmons,"Simmons, Dan",,"=""""","=""""",4,3.95,HarperCollins e-books,Kindle Edition,912,2009,2005,,2014/06/15,,,read,,,,1,0
18626858,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",5,4.34,Scholastic Press,Kindle Edition,387,2009,2008,,2014/06/15,,,read,,,,1,0
18626828,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.34,Bantam,ebook,1154,2011,2011,,2014/06/15,,,read,,,,1,0
712249,The Heart of a Servant Leader: Letters from Jack Miller,C. John Miller,"Miller, C. John",,"=""0875527159""","=""9780875527154""",0,4.36,P&R Publishing,Paperback,320,2004,2004,,2016/02/26,,,read,,,,1,1
49221,A Grief Observed,C.S. Lewis,"Lewis, C.S.",Madeleine L'Engle,"=""0060652381""","=""9780060652388""",4,4.22,HarperOne,Paperback,76,2015,1961,2005/01/01,2016/01/05,,,read,,,,1,1
22303726,Thoughts In Solitude,Thomas Merton,"Merton, Thomas",,"=""""","=""""",4,4.03,"Farrar, Straus and Giroux",Kindle Edition,145,2011,1956,2016/05/21,2016/01/23,,,read,"There is much to learn from in this short book and I know I've only scratched the surface. In a world of smartphones, Netflix, social media and everything else, I'm grateful for any clear headed thoughts that point me towards silence and contentment, rather than endless cycle of consuming. ",,,1,0
